book_id,stage,edition,grade,volume,coverage,title,pdf_bytes,md5,action,local_pdf,page_url
68d46462-868d-ccd5-9ea0-c385214b76e6,初中,人教版,7,上册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书 英语 七年级 上册,14180637,f279edbc87a7bfdf89586d3eb9a787a4,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=68d46462-868d-ccd5-9ea0-c385214b76e6
a795a3b3-7150-e3ff-5eb8-d76684e53e3a,初中,人教版,7,上册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书 英语 七年级 上册,11928952,111b87a41f8cfee01a7965e122ee1c0f,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=a795a3b3-7150-e3ff-5eb8-d76684e53e3a
5f12c902-f141-4ae2-9dcb-e2c504a7783b,初中,人教版,7,下册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书·英语 七年级 下册,18789465,6ea4763822a47f0e39ea22b759925cae,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=5f12c902-f141-4ae2-9dcb-e2c504a7783b
f7a7eb5e-12dc-4c96-a4b8-219ca3bcee19,初中,人教版,7,下册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书·英语七年级下册,10027213,aab6c02d300dc8f79f426d0f0ac8b159,review_extracted_sample,materials/初中/英语/人教版/（根据2022年版课程标准修订）义务教育教科书·英语七年级下册__f7a7eb5e/教材.pdf,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=f7a7eb5e-12dc-4c96-a4b8-219ca3bcee19
453025ca-58bd-442e-8543-5ef5222d50c6,初中,人教版,8,上册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书·英语八年级上册,22550362,a36110b626314598bd3e66400c1cc07b,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=453025ca-58bd-442e-8543-5ef5222d50c6
467816b8-e76c-43fc-afc7-91638f97dba8,初中,人教版,8,下册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书·英语八年级下册,18531088,a02b54b652a1b7640ad71222ce8c4aad,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=467816b8-e76c-43fc-afc7-91638f97dba8
33f98190-ed21-f303-9657-d29d792f27a9,初中,人教版,7,上册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书•英语 七年级上册,17947229,4640958ba6a069ebd48ec9d662778412,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=33f98190-ed21-f303-9657-d29d792f27a9
7055a895-2dbd-8b3d-4988-6c357fe5dae1,初中,人教版,9,上册,missing,（根据2022年版课程标准修订）义务教育教科书•英语 九年级上册,22859697,1212072ddb842bf1175672f81aff6922,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=7055a895-2dbd-8b3d-4988-6c357fe5dae1
5700edda-c4c1-11ea-29c4-8fe2c1ca7beb,初中,人教版,8,上册,candidate_unverified,（根据2022年版课程标准修订）义务教育教科书•英语 八年级上册,27090165,81d03bed24628b1314c44041fa10399f,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=5700edda-c4c1-11ea-29c4-8fe2c1ca7beb
1b40f564-90cc-47d8-d7fd-9ce4362cc82d,初中,冀教版,9,上册,missing,（根据2022年版课程标准修订）义务教育教科书 英语 九年级上册,57310138,182a6b09e30db06d8eaf704833bf5b24,obtain_and_verify_wordlist_or_extract_pdf,,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=1b40f564-90cc-47d8-d7fd-9ce4362cc82d
